,Company Name,Symbol,Exchange,Currency,Country,Sector,Industry,Website,Full-Time Employees,Insider Ownership (%),Institutional Ownership (%),Market Cap ($B),Enterprise Value ($B),Shares Outstanding (B),Float Shares (B),Book Value/Share ($),EV/EBITDA,EV/Revenue,Current Price ($),Open ($),Previous Close ($),Day High ($),Day Low ($),52-Week High ($),52-Week Low ($),50-Day MA ($),200-Day MA ($),Volume,Avg Volume,EPS (TTM),EPS (Forward),PE Ratio (Trailing),PE Ratio (Forward),PEG Ratio,Profit Margin (%),Operating Margin (%),ROA (%),ROE (%),Operating CF ($B),Free CF ($B),CapEx ($B),Total Debt ($B),Debt to Equity,Quick Ratio,Current Ratio,Dividend Rate ($),Dividend Yield (%),Payout Ratio,Ex-Dividend Date,Revenue Growth YoY,Earnings Growth YoY,Earnings Date,Last Split Date,Last Split Factor
266,"Arlo Technologies, Inc.",ARLO,NYQ,USD,United States,Industrials,Building Products & Equipment,https://www.arlo.com,360,4.64,89.74,1.78,1.64,0.103,0.099,1.0,-81.75,3.25,17.17,17.4,17.36,17.45,16.84,17.7,7.84,13.54,11.9,940602,998050,-0.22,0.53,N/A,32.4,N/A,-4.29%,-1.22%,-4.95%,-21.34%,0.06,0.07,N/A,0.02,20.57,1.15,1.42,N/A,N/A,N/A,N/A,-4.1%,N/A,N/A,N/A,N/A
267,"Arvinas, Inc.",ARVN,NMS,USD,United States,Healthcare,Biotechnology,https://www.arvinas.com,430,6.74,91.08,0.55,-0.39,0.073,0.063,9.04,4.3,-0.92,7.54,7.8,7.8,7.88,7.5,34.11,5.9,7.48,16.59,1823411,2643512,-0.66,-4.66,N/A,-1.62,N/A,-10.92%,37.82%,-5.39%,-7.34%,-0.25,-0.0,N/A,0.01,1.59,4.5,4.58,N/A,N/A,N/A,N/A,646.2%,N/A,N/A,N/A,N/A
268,"Assertio Holdings, Inc.",ASRT,NCM,USD,United States,Healthcare,Drug Manufacturers - Specialty & Generic,https://www.assertiotx.com,58,2.52,27.05,0.06,0.02,0.096,0.086,1.13,-24.86,0.13,0.65,0.64,0.65,0.67,0.63,1.8,0.51,0.65,0.84,200615,313179,-0.32,-0.06,N/A,-10.81,N/A,-25.72%,-48.87%,-6.6%,-25.19%,0.01,0.02,N/A,0.04,37.12,1.29,1.66,N/A,N/A,N/A,N/A,-18.4%,N/A,N/A,1621296000,1:4
269,"Amtech Systems, Inc.",ASYS,NMS,USD,United States,Technology,Semiconductor Equipment & Materials,https://www.amtechsystems.com,328,6.44,68.25,0.07,0.07,0.014,0.009,3.56,-17.71,0.77,4.64,4.39,4.44,4.69,4.38,6.96,3.2,3.82,5.01,112789,59756,-2.22,0.27,N/A,17.19,N/A,-34.79%,-53.09%,-4.35%,-47.9%,0.01,0.01,N/A,0.02,32.38,1.78,3.24,N/A,N/A,N/A,N/A,-38.7%,N/A,N/A,921542400,1:2
270,Adtalem Global Education Inc.,ATGE,NYQ,USD,United States,Consumer Defensive,Education & Training Services,https://www.adtalem.com,4624,2.37,105.14,4.62,5.18,0.036,0.035,39.24,13.04,2.97,128.49,124.97,125.38,130.4,124.34,140.12,65.3,121.5,98.25,1296201,557612,5.91,6.58,21.74,19.53,N/A,13.34%,20.91%,7.75%,16.62%,0.34,0.27,N/A,0.78,54.48,0.71,0.83,N/A,N/A,N/A,1480464000,12.9%,72.1%,N/A,898473600,2:1
271,Atkore Inc.,ATKR,NYQ,USD,United States,Industrials,Electrical Equipment & Parts,https://www.atkore.com,5264,1.24,103.56,2.39,3.0,0.034,0.03,41.91,5.62,1.01,71.15,71.18,70.77,72.25,70.55,153.32,49.92,66.48,75.79,1358217,467908,5.3,11.72,13.42,6.07,N/A,6.48%,10.81%,8.8%,12.93%,0.46,0.29,N/A,0.94,66.71,1.6,3.02,1.32,186.0,24.15%,1747353600,-11.5%,N/A,N/A,N/A,N/A
272,Atmos Energy Corporation,ATO,NYQ,USD,United States,Utilities,Utilities - Regulated Gas,https://www.atmosenergy.com,5260,0.32,107.35,24.22,32.07,0.159,0.158,82.71,14.64,7.15,152.49,152.54,152.92,153.97,152.37,167.45,113.46,156.21,146.93,1551588,1143174,7.17,7.14,21.27,21.36,N/A,25.35%,32.6%,3.64%,9.19%,1.95,-1.61,N/A,8.51,64.75,1.1,1.33,3.48,228.0,46.79%,1748304000,18.4%,6.3%,N/A,769132800,3:2
273,"Altice USA, Inc.",ATUS,NYQ,USD,United States,Communication Services,Telecom Services,https://www.alticeusa.com,10900,7.35,98.64,1.0,26.3,0.284,0.263,-1.16,7.98,2.97,2.13,2.11,2.12,2.15,2.06,3.2,1.52,2.33,2.49,38331610,4314827,-0.33,0.03,N/A,71.0,N/A,-1.78%,16.88%,3.19%,N/A,1.37,0.4,N/A,25.56,N/A,0.27,0.36,N/A,N/A,N/A,1528329600,-4.4%,N/A,N/A,N/A,N/A
274,AngloGold Ashanti plc,AU,NYQ,USD,United States,Basic Materials,Gold,https://www.anglogoldashanti.com,12634,0.18,72.42,22.12,24.78,0.504,0.504,13.44,8.58,3.76,43.88,44.45,46.36,44.47,43.44,51.11,22.45,44.12,32.79,37388265,3975974,3.07,2.75,14.29,15.96,N/A,21.09%,38.1%,N/A,24.68%,2.44,N/A,N/A,2.25,25.89,1.36,2.35,0.5,114.0,29.64%,1748563200,67.6%,528.6%,N/A,N/A,N/A
275,Avista Corporation,AVA,NYQ,USD,United States,Utilities,Utilities - Diversified,https://investor.avistacorp.com,N/A,0.84,88.09,3.03,6.06,0.081,0.08,32.88,9.97,3.11,37.64,37.65,37.72,37.94,37.4,43.09,33.45,39.14,38.32,1113180,757248,2.36,2.58,15.95,14.59,N/A,9.66%,20.26%,2.65%,7.27%,0.53,-0.13,N/A,3.05,114.99,0.37,0.93,1.96,521.0,81.14%,1747094400,1.3%,7.9%,N/A,752889600,2:1
276,Avient Corporation,AVNT,NYQ,USD,United States,Basic Materials,Specialty Chemicals,https://www.avient.com,9200,0.75,102.51,3.01,4.64,0.092,0.09,25.11,9.21,1.43,32.84,33.1,33.05,33.48,32.7,54.68,27.86,35.18,42.08,2007433,694467,1.08,2.95,30.41,11.13,N/A,3.08%,9.34%,3.45%,4.35%,0.25,0.17,N/A,2.07,89.4,1.35,2.05,1.08,329.0,97.69%,1750377600,-0.3%,N/A,N/A,N/A,N/A
277,"Avantor, Inc.",AVTR,NYQ,USD,United States,Healthcare,Medical Instruments & Supplies,https://www.avantorsciences.com,13500,1.35,103.15,9.22,13.01,0.681,0.664,8.95,11.68,1.95,13.53,13.78,13.74,13.9,13.49,28.0,11.82,13.31,19.05,12671672,13032172,1.04,1.13,13.01,11.97,N/A,10.7%,8.21%,3.53%,12.52%,0.81,0.75,N/A,4.11,67.34,0.69,1.12,N/A,N/A,N/A,N/A,-5.9%,1.0%,N/A,N/A,N/A
278,"American Axle & Manufacturing Holdings, Inc.",AXL,NYQ,USD,United States,Consumer Cyclical,Auto Parts,https://www.aam.com,19000,4.76,114.89,0.5,2.69,0.119,0.108,5.04,3.75,0.45,4.18,4.21,4.2,4.21,4.08,7.65,3.0,4.17,5.22,5686623,2981301,0.18,0.48,23.22,8.71,N/A,0.36%,4.32%,3.01%,3.55%,0.49,0.35,N/A,2.74,460.29,1.15,1.72,N/A,N/A,N/A,1228348800,-12.2%,-66.0%,N/A,N/A,N/A
279,N/A,AY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
280,N/A,AZPN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
281,BlackBerry Limited,BB,NYQ,USD,Canada,Technology,Software - Infrastructure,https://www.blackberry.com,1820,1.75,47.84,2.71,2.63,0.595,0.594,1.22,37.6,4.93,4.54,4.72,4.72,4.73,4.46,6.24,2.01,3.88,3.55,29158041,15713956,0.02,0.08,227.0,56.75,N/A,-6.69%,4.11%,2.29%,1.35%,0.01,0.01,N/A,0.24,32.51,1.93,2.1,N/A,N/A,N/A,N/A,-1.4%,N/A,N/A,1187654400,3:1
282,Brunswick Corporation,BC,NYQ,USD,United States,Consumer Cyclical,Recreational Vehicles,https://www.brunswick.com,15000,0.83,106.14,3.65,5.99,0.066,0.065,28.47,9.15,1.18,55.59,56.04,55.49,56.33,54.74,87.65,41.0,51.24,65.35,973723,1145156,1.51,5.29,36.81,10.51,N/A,1.62%,4.75%,3.69%,5.16%,0.56,0.41,N/A,2.63,140.27,0.57,1.57,1.72,309.0,111.92%,1747612800,-10.5%,-69.8%,N/A,550281600,2:1
283,Belden Inc.,BDC,NYQ,USD,United States,Technology,Communication Equipment,https://www.belden.com,7500,1.58,104.55,4.6,5.65,0.039,0.039,30.84,13.77,2.21,116.41,116.93,116.54,117.39,114.73,131.82,83.18,107.28,111.67,870680,270032,5.17,7.65,22.52,15.22,N/A,8.36%,11.55%,5.91%,17.92%,0.36,0.18,N/A,1.31,106.88,1.15,1.93,0.2,17.0,3.87%,1749686400,16.6%,41.1%,N/A,1089936000,1:2
284,Brandywine Realty Trust,BDN,NYQ,USD,United States,Real Estate,REIT - Office,https://www.brandywinerealty.com,285,3.26,90.09,0.74,2.95,0.173,0.167,5.74,54.05,9.44,4.25,4.21,4.22,4.34,4.21,6.54,3.41,4.21,4.93,1749613,2396219,-1.2,-0.02,N/A,-212.5,N/A,-66.08%,1.62%,-1.77%,-18.08%,0.16,0.07,N/A,2.24,223.99,1.09,1.1,0.6,1412.0,542.86%,1751414400,-1.3%,N/A,N/A,848966400,1:3
285,"Benchmark Electronics, Inc.",BHE,NYQ,USD,United States,Technology,Electronic Components,https://www.bench.com,11700,2.19,103.39,1.42,1.46,0.036,0.035,30.6,9.69,0.56,39.28,39.44,39.36,39.77,38.79,52.57,30.73,36.83,41.89,377785,302154,1.44,2.45,27.28,16.03,N/A,2.03%,3.67%,3.16%,4.84%,0.17,0.18,N/A,0.4,36.22,1.42,2.37,0.68,173.0,46.88%,1751241600,-6.5%,-73.7%,N/A,1144108800,3:2
286,Biohaven Ltd.,BHVN,NYQ,USD,United States,Healthcare,Biotechnology,https://www.biohaven.com,256,11.96,90.75,1.44,1.15,0.102,0.085,2.54,-1.27,N/A,14.09,14.66,14.74,14.82,14.05,55.7,13.87,17.61,34.14,1935757,2249787,-9.25,-6.32,N/A,-2.23,N/A,N/A,N/A,-129.99%,-316.82%,-0.64,-0.39,N/A,0.04,13.69,1.97,2.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
287,N/A,BIG,NYQ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
288,Black Hills Corporation,BKH,NYQ,USD,United States,Utilities,Utilities - Regulated Gas,https://www.blackhillscorp.com,2841,0.51,86.95,4.06,8.44,0.073,0.072,50.13,10.77,3.83,55.94,56.01,55.91,56.39,55.62,65.59,53.22,58.51,59.65,1037328,490590,3.9,4.12,14.34,13.58,N/A,12.67%,25.46%,3.23%,8.08%,0.71,-0.17,N/A,4.31,115.99,0.43,0.76,2.7,483.0,67.33%,1747353600,10.8%,N/A,N/A,889574400,3:2
289,N/A,BLCM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
290,"Bloomin' Brands, Inc.",BLMN,NMS,USD,United States,Consumer Cyclical,Restaurants,https://www.bloominbrands.com,81000,2.08,104.26,0.74,2.87,0.085,0.075,4.48,7.98,0.73,8.66,8.9,8.81,9.08,8.46,21.45,6.09,8.21,11.47,2467035,2843166,0.89,1.9,9.73,4.56,N/A,-0.05%,5.49%,3.42%,23.87%,0.23,-0.13,N/A,2.19,568.72,0.27,0.41,0.6,692.0,97.75%,1747699200,-1.8%,N/A,N/A,N/A,N/A
291,"bluebird bio, Inc.",BLUE,NMS,USD,United States,Healthcare,Biotechnology,https://www.bluebirdbio.com,248,0.71,39.68,0.05,0.19,0.01,0.01,-5.91,-1.25,1.8,4.97,4.74,4.97,4.97,4.97,28.6,3.2,4.45,7.21,1245197,647967,-20.59,-0.65,N/A,-0.99,N/A,-192.39%,-55.56%,-28.37%,-546.54%,-0.23,-0.06,N/A,0.22,N/A,0.26,0.55,N/A,N/A,N/A,N/A,108.4%,N/A,N/A,1734048000,1:20
292,Bumble Inc.,BMBL,NMS,USD,United States,Communication Services,Internet Content & Information,https://bumble.com,N/A,2.59,100.47,0.96,1.63,0.103,0.07,7.89,6.45,1.55,6.45,6.59,6.51,6.64,6.3,10.66,3.55,5.24,6.43,4284830,3236225,-4.67,0.76,N/A,8.49,N/A,-54.06%,19.63%,4.07%,-43.26%,0.16,0.07,N/A,0.63,46.38,2.51,2.83,N/A,N/A,N/A,N/A,-7.7%,-33.1%,N/A,N/A,N/A
293,Bruker Corporation,BRKR,NMS,USD,United States,Healthcare,Medical Devices,https://www.bruker.com,11396,31.97,82.12,6.33,8.31,0.152,0.103,11.99,13.85,2.41,41.8,42.25,42.18,42.38,41.11,72.94,34.1,38.52,51.3,4035247,2548688,0.52,2.71,80.38,15.42,N/A,2.31%,8.62%,4.79%,4.76%,0.29,0.34,N/A,2.13,115.22,0.67,1.57,0.2,48.0,38.46%,1750032000,11.0%,-68.6%,N/A,N/A,N/A
294,Dutch Bros Inc.,BROS,NYQ,USD,United States,Consumer Cyclical,Restaurants,https://www.dutchbros.com,18000,5.29,79.01,11.41,9.7,0.127,0.123,4.79,42.88,7.13,69.34,67.55,67.46,70.13,66.74,86.88,26.96,66.93,56.28,5252249,3071508,0.39,0.54,177.79,128.41,N/A,3.2%,9.1%,3.31%,9.75%,0.24,0.0,N/A,1.02,128.24,1.67,1.95,N/A,N/A,N/A,N/A,29.1%,49.4%,N/A,N/A,N/A
295,Banco Santander (Brasil) S.A.,BSBR,NYQ,USD,Brazil,Financial Services,Banks - Regional,https://www.santander.com.br,55303,13.69,0.5,39.75,202.23,7.471,0.751,16.18,N/A,4.22,5.32,5.32,5.32,5.36,5.3,5.77,3.75,5.21,4.77,380154,519688,0.31,0.78,17.16,6.82,N/A,28.02%,42.53%,1.13%,11.36%,33.78,N/A,N/A,330.05,N/A,N/A,N/A,0.28,518.0,93.2%,1745366400,6.3%,1.5%,N/A,N/A,N/A
296,N/A,BSIG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
297,"Bit Digital, Inc.",BTBT,NCM,USD,United States,Financial Services,Capital Markets,https://www.bit-digital.com,54,1.41,25.97,0.57,0.38,0.284,0.206,2.23,-9.57,3.75,2.01,2.06,1.99,2.16,1.99,5.74,1.69,2.27,3.03,51370865,16017588,-0.56,0.15,N/A,13.4,N/A,-77.9%,-212.08%,-11.7%,-23.29%,0.03,-0.11,N/A,0.01,3.36,1.68,3.9,N/A,N/A,N/A,N/A,-18.0%,N/A,N/A,N/A,N/A
298,Baytex Energy Corp.,BTE,NYQ,USD,Canada,Energy,Oil & Gas E&P,https://www.baytexenergy.com,370,0.66,45.43,1.42,3.6,0.768,0.664,5.46,1.64,1.08,1.83,1.83,1.84,1.86,1.8,3.84,1.36,1.74,2.38,33159725,52446100,0.29,0.32,6.31,5.72,N/A,9.57%,17.5%,6.52%,7.9%,1.96,0.5,N/A,2.2,52.31,0.6,0.63,0.07,362.0,22.5%,1749772800,2.1%,N/A,N/A,N/A,N/A
299,Compañía de Minas Buenaventura S.A.A.,BVN,NYQ,USD,Peru,Basic Materials,Other Precious Metals & Mining,https://www.buenaventura.com,N/A,18.94,61.73,4.18,4.49,0.254,0.142,13.61,10.77,3.69,16.15,16.22,16.67,16.3,15.78,17.71,11.5,15.35,13.76,1151685,1128054,1.64,1.07,9.85,15.09,N/A,39.6%,30.04%,3.52%,14.55%,0.49,-0.07,N/A,0.86,23.77,2.21,2.48,0.29,181.0,4.43%,1744761600,24.7%,128.1%,N/A,1216771200,2:1
300,"Beyond, Inc.",BYON,NYQ,USD,United States,Consumer Cyclical,Internet Retail,https://beyond.com,610,1.76,58.59,0.38,0.3,0.058,0.056,2.52,-2.02,0.24,6.67,7.3,7.26,7.35,6.6,15.44,3.54,5.55,6.66,2429192,2833696,-4.68,-1.77,N/A,-3.77,N/A,-18.06%,-10.16%,-20.85%,-104.28%,-0.19,-0.16,N/A,0.03,22.34,0.64,0.95,N/A,N/A,N/A,N/A,-39.4%,N/A,N/A,N/A,N/A
301,N/A,CANO,NYQ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
302,"Carter Bankshares, Inc.",CARE,NMS,USD,United States,Financial Services,Banks - Regional,https://www.carterbank.com,680,2.13,48.16,0.4,0.37,0.023,0.022,17.35,N/A,2.52,17.44,17.52,17.47,17.64,17.37,20.4,13.61,16.04,17.16,116015,86440,1.2,2.05,14.53,8.51,N/A,18.88%,32.07%,0.6%,7.27%,0.03,N/A,N/A,0.07,N/A,N/A,N/A,N/A,N/A,N/A,1581638400,17.0%,54.9%,N/A,N/A,N/A
303,"Carver Bancorp, Inc.",CARV,NCM,USD,United States,Financial Services,Banks - Regional,https://www.carverbank.com,109,23.1,11.48,0.01,0.01,0.005,0.004,1.49,N/A,0.43,1.68,1.73,1.68,1.77,1.58,2.2,1.3,1.47,1.65,29822,19237,-2.65,N/A,N/A,N/A,N/A,-65.31%,-69.3%,-1.85%,-38.24%,-0.01,N/A,N/A,0.03,N/A,N/A,N/A,N/A,N/A,N/A,1282694400,-37.0%,N/A,N/A,1320105600,1:15
304,"CASI Pharmaceuticals, Inc.",CASI,NCM,USD,China,Healthcare,Biotechnology,https://www.casipharmaceuticals.com,233,43.76,23.64,0.02,0.02,0.015,0.006,-0.52,-0.64,0.78,1.2,1.26,1.3,1.29,1.19,7.67,1.1,1.8,3.3,29697,102814,-2.54,-2.13,N/A,-0.56,N/A,-129.05%,-163.99%,-50.88%,-1094.5%,N/A,N/A,N/A,0.02,N/A,0.6,0.81,N/A,N/A,N/A,N/A,83.0%,N/A,N/A,1654128000,1:10
305,"Cass Information Systems, Inc.",CASS,NMS,USD,United States,Industrials,Specialty Business Services,https://www.cassinfo.com,1008,11.29,67.78,0.59,0.37,0.013,0.012,17.45,7.53,1.7,44.2,42.97,42.84,44.58,42.82,47.14,37.99,42.0,42.32,273274,53500,1.51,2.53,29.27,17.47,N/A,9.5%,25.26%,1.18%,8.91%,0.05,-0.04,N/A,0.01,2.15,1.01,1.14,1.24,281.0,80.79%,1748908800,2.1%,27.9%,N/A,1543795200,6:5
306,N/A,CEIX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
307,Cerus Corporation,CERS,NGM,USD,United States,Healthcare,Medical Devices,https://www.cerus.com,614,3.35,76.13,0.27,0.29,0.191,0.166,0.29,-27.51,1.57,1.42,1.37,1.36,1.46,1.33,2.54,1.12,1.34,1.6,3994802,1281345,-0.1,-0.07,N/A,-20.29,N/A,-10.23%,-13.54%,-3.82%,-35.69%,0.01,0.01,N/A,0.1,176.82,1.54,2.32,N/A,N/A,N/A,N/A,12.7%,N/A,N/A,N/A,N/A
308,The Carlyle Group Inc.,CG,NMS,USD,United States,Financial Services,Asset Management,https://www.carlyle.com,2300,26.35,64.53,18.48,27.97,0.361,0.261,15.46,N/A,5.55,51.17,51.0,50.67,52.12,50.48,57.5,33.02,43.91,47.33,4255343,3205032,2.94,4.43,17.4,11.55,N/A,21.53%,19.82%,5.12%,18.98%,-1.18,N/A,N/A,10.46,163.8,1.72,1.8,1.4,274.0,47.62%,1747612800,56.1%,94.4%,N/A,N/A,N/A
309,"The Chefs' Warehouse, Inc.",CHEF,NMS,USD,United States,Consumer Defensive,Food Distribution,https://www.chefswarehouse.com,5029,11.34,95.11,2.58,3.38,0.041,0.036,13.32,17.17,0.87,63.53,63.31,63.06,63.88,61.94,66.51,35.59,60.84,51.81,667891,468751,1.52,1.77,41.8,35.89,N/A,1.65%,2.39%,4.79%,12.9%,0.17,0.11,N/A,0.91,168.36,1.18,2.05,N/A,N/A,N/A,N/A,8.7%,399.0%,N/A,N/A,N/A
310,N/A,CHNG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
311,"ChargePoint Holdings, Inc.",CHPT,NYQ,USD,United States,Consumer Cyclical,Specialty Retail,https://www.chargepoint.com,1395,0.93,42.69,0.34,0.47,0.462,0.426,0.26,-2.34,1.16,0.74,0.77,0.75,0.81,0.74,2.44,0.51,0.69,0.95,14051330,15179404,-0.59,-0.19,N/A,-3.88,N/A,-64.36%,-55.14%,-14.74%,-132.35%,-0.12,-0.01,N/A,0.33,275.76,0.97,1.82,N/A,N/A,N/A,N/A,-8.8%,N/A,N/A,N/A,N/A
312,N/A,CHUY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
313,N/A,CIDM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
314,"Clover Health Investments, Corp.",CLOV,NMS,USD,United States,Healthcare,Healthcare Plans,https://www.cloverhealth.com,570,3.9,26.16,1.4,1.24,0.417,0.393,0.66,-54.33,0.84,2.76,2.81,2.79,2.81,2.68,4.87,1.18,3.24,3.57,49133383,7189014,-0.04,-0.14,N/A,-19.71,N/A,-1.69%,-0.28%,-2.43%,-7.75%,-0.01,0.13,N/A,N/A,N/A,1.38,1.54,N/A,N/A,N/A,N/A,33.4%,N/A,N/A,N/A,N/A
315,"CleanSpark, Inc.",CLSK,NCM,USD,United States,Financial Services,Capital Markets,https://www.cleanspark.com,256,2.31,63.3,3.0,3.54,0.281,0.275,6.73,15.05,6.59,10.67,10.77,10.81,10.96,10.46,20.49,6.45,9.18,10.12,23238400,26725314,-1.11,0.9,N/A,11.86,N/A,-35.43%,-77.19%,-0.07%,-11.36%,-0.37,-0.29,N/A,0.65,34.23,0.92,8.67,N/A,N/A,N/A,N/A,62.5%,N/A,N/A,1576022400,1:10
316,The Clorox Company,CLX,NYQ,USD,United States,Consumer Defensive,Household & Personal Products,https://www.thecloroxcompany.com,7400,0.2,83.54,14.68,17.57,0.123,0.123,0.22,13.93,2.5,119.14,118.5,118.01,119.34,118.14,171.37,117.35,131.71,151.23,5253074,1703961,5.58,7.29,21.35,16.34,N/A,9.89%,14.45%,11.6%,318.65%,1.03,1.12,N/A,2.94,1549.47,0.38,0.74,4.88,410.0,87.25%,1745366400,-8.0%,N/A,N/A,935452800,2:1
317,"Chipotle Mexican Grill, Inc.",CMG,NYQ,USD,United States,Consumer Cyclical,Restaurants,https://www.chipotle.com,130504,0.68,90.08,74.17,77.39,1.347,1.338,2.59,33.03,6.74,55.05,54.2,54.27,55.24,54.18,66.74,44.46,51.1,55.38,14329771,13426177,1.13,1.31,48.72,42.02,N/A,13.59%,17.3%,14.35%,45.57%,2.09,1.16,N/A,4.63,132.72,1.39,1.52,N/A,N/A,N/A,N/A,6.4%,7.7%,N/A,1719360000,50:1
318,Cumulus Media Inc.,CMLS,OQB,USD,United States,Communication Services,Broadcasting,https://www.cumulusmedia.com,2250,11.39,38.28,0.0,0.74,0.017,0.014,-1.42,13.42,0.91,0.12,0.12,0.14,0.12,0.12,2.24,0.1,0.16,0.69,1504,434496,-17.82,-3.24,N/A,-0.04,N/A,-37.02%,-6.57%,-0.19%,-243.54%,0.01,0.03,N/A,0.79,N/A,1.5,1.67,N/A,N/A,N/A,N/A,-6.4%,N/A,N/A,N/A,N/A
319,"Cinemark Holdings, Inc.",CNK,NYQ,USD,United States,Communication Services,Entertainment,https://www.cinemark.com,9252,10.95,122.19,3.46,6.18,0.115,0.101,3.08,11.92,2.05,30.1,30.58,30.43,31.0,29.75,36.28,20.43,31.14,29.58,4966219,3917214,1.55,1.93,19.42,15.6,N/A,8.17%,-4.31%,4.24%,71.86%,0.37,0.19,N/A,3.46,968.96,0.73,0.79,0.32,106.0,5.16%,1748476800,-6.6%,N/A,N/A,N/A,N/A
320,CONMED Corporation,CNMD,NYQ,USD,United States,Healthcare,Medical Devices,https://www.conmed.com,3900,0.58,117.51,1.61,2.47,0.031,0.031,31.61,11.07,1.88,52.17,52.52,52.34,53.05,51.43,78.19,46.0,54.97,63.99,1210977,464754,3.81,4.84,13.69,10.78,N/A,9.02%,7.27%,4.14%,12.96%,0.18,0.16,N/A,0.89,91.26,0.91,2.26,0.8,153.0,21.0%,1749772800,2.9%,-69.8%,N/A,1000080000,3:2
